"id","name","title","imageURL"
"/speaker/priya-jacob","Priya Jacob","Q29uc3VsdGluZyBFbmdpbmVlciwgTmVvNGo=","https://developersummit.com/assets/images/speakers/63db03f0191e7.jpeg"
"/speaker/rajasegar-chandran","Rajasegar Chandran","RnJvbnRlbmQgQXJjaGl0ZWN0LCBGcmVzaFdvcmtz","https://developersummit.com/assets/images/speakers/63ca40d264218.jpeg"
"/speaker/rakesh-gunasekhar","Rakesh Gunasekhar","VVggQXJjaGl0ZWN0LCBCYW5raW5nICYgQ2FwaXRhbCBNYXJrZXRzLCBMdXhvZnQ=","https://developersummit.com/assets/images/speakers/63d9d256ddf2b.jpeg"
"/speaker/ramkumar-venkatesan","Ramkumar Venkatesan","U2VuaW9yIFZpY2UgUHJlc2lkZW50IG9mIEVuZ2luZWVyaW5nLCBDYXNoZnJlZQ==","https://developersummit.com/assets/images/speakers/63eb3de9ba417.jpeg"
"/speaker/randeep-sekhon","Randeep Sekhon","Q2hpZWYgVGVjaG5vbG9neSBPZmZpY2VyLCBCaGFydGkgQWlydGVs","https://developersummit.com/assets/images/speakers/63e5ef44d007b.jpeg"
"/speaker/ravishankar-balasubramanian","Ravishankar Balasubramanian","RGlyZWN0b3Ig4oCTIERhdGEgU2NpZW5jZSAmIEFuYWx5dGljcywgV2FsbWFydCBHbG9iYWwgVGVjaA==","https://developersummit.com/assets/images/speakers/63db5cf275002.jpeg"
"/speaker/rich-hagarty","Rich Hagarty","RGV2ZWxvcGVyIEFkdm9jYXRlLCBJQk0=","https://developersummit.com/assets/images/speakers/637c5cb133490.jpeg"
"/speaker/ritikesh","Ritikesh","U3RhZmYgRW5naW5lZXIsIEZyZXNoV29ya3M=","https://developersummit.com/assets/images/speakers/63ca40f21298c.jpeg"
"/speaker/rob-richardson","Rob Richardson","U29mdHdhcmUgQ3JhZnRzbWFuIEJ1aWxkaW5nIFdlYiBQcm9wZXJ0aWVz","https://developersummit.com/assets/images/speakers/60273fda627b7.jpg"
"/speaker/rohit-bhardwaj","Rohit Bhardwaj","U2VuaW9yIEFyY2hpdGVjdCAmIEV4cGVydCBpbiBDbG91ZC1OYXRpdmUgU29sdXRpb25z","https://developersummit.com/assets/images/speakers/604228b021e32.jpg"
"/speaker/rohit-ghumare","Rohit Ghumare","UGxhdGZvcm0gQWR2b2NhdGUsIFNvbG8uaW8=","https://developersummit.com/assets/images/speakers/63d8d95533812.jpeg"
"/speaker/ron-veen","Ron Veen","U3BlY2lhbCBBZ2VudCwgVGVhbSBSb2Nrc3RhcnMgSVQ=","https://developersummit.com/assets/images/speakers/63d72725787fe.jpeg"
"/speaker/shesadri-parthasarathy","Shesadri Parthasarathy","UHJpbmNpcGFsIEVuZ2luZWVyIOKAkyBUYXJnZXQgVGVjaCwgVGFyZ2V0IGluIEluZGlh","https://developersummit.com/assets/images/speakers/640c02d77265e.jpeg"
"/speaker/steve-poole","Steve Poole","RGV2ZWxvcGVyIEFkdm9jYXRlLCBTb25hdHlwZQ==","https://developersummit.com/assets/images/speakers/6375a1f2788fc.jpeg"
"/speaker/tuhin-sharma","Tuhin Sharma","U2VuaW9yIFByaW5jaXBhbCBEYXRhIFNjaWVudGlzdCwgUmVkaGF0","https://developersummit.com/assets/images/speakers/606f8182a4480.jpg"
"/speaker/vanya-seth","Vanya Seth","SGVhZCBvZiBUZWNobm9sb2d5LCBUaG91Z2h0V29ya3M=","https://developersummit.com/assets/images/speakers/60116273b3b60.jpg"
"/speaker/vijayabharathi-balasubramanian","Vijayabharathi Balasubramanian","U2VuaW9yIEVuZ2luZWVyaW5nIE1hbmFnZXIsIEZyZXNod29ya3M=","https://developersummit.com/assets/images/speakers/63ca40df01b67.jpeg"
"/speaker/vinay-joshi","Vinay Joshi","U2VuaW9yIERpcmVjdG9yIOKAkyBUZWNobm9sb2d5LCBUYXJnZXQgaW4gSW5kaWE=","https://developersummit.com/assets/images/speakers/640c0207c6a7e.jpeg"
