id,genre
10451,Drama
10451,Romance
10461,Action
10461,Crime
10461,Drama
10461,Thriller
10464,Comedy
10464,Drama
10464,Family
10464,Romance
10466,Comedy
10466,Romance
10468,Drama
10468,Romance
10471,Comedy
10473,Action
10473,Adventure
10473,Comedy
10473,Fantasy
10474,Crime
10474,Drama
10474,Sport
104755,Horror
104755,Thriller
10476,Drama
10476,Indie
10476,Musical
10477,Action
10477,Adventure
10477,Drama
10477,Thriller
10478,Comedy
10478,Drama
10478,Romance
10478,Sports Film
10479,Action
10479,Adventure
10479,Drama
10479,History
10479,War
10480,Comedy
10480,Crime
10480,Indie
10480,Thriller
10481,Comedy
10481,Family
10483,Action
10483,Science Fiction
10483,Thriller
10485,Comedy
10485,Family
10485,Fantasy
10488,Adventure
10488,Comedy
10488,Family
10488,Fantasy
10489,Horror
10489,Thriller
10491,Action
10493,Drama
10493,Thriller
10494,Animation
10494,Thriller
10495,Action
10495,Drama
10495,Family
10497,Drama
10497,Romance
10497,Thriller
10498,Action
10498,Adventure
10498,Thriller
1049,Drama
1049,Mystery
1049,Romance
1049,Thriller
104,Action
104,Drama
104,Thriller
105001,Action
105001,Adventure
105001,Comedy
105001,Fantasy
105001,History
105001,Science Fiction
10501,Adventure
10501,Animation
10501,Comedy
10501,Family
10502,Drama
10503,Comedy
10503,Drama
105077,Action
105077,Adventure
105077,Drama
105077,Science Fiction
10510,Drama
10510,Family
10510,Fantasy
10511,Drama
10511,Foreign
10511,Romance
10513,Horror
10513,Science Fiction
10514,Drama
10514,Science Fiction
10514,Suspense
10514,Thriller
10515,Action
10515,Adventure
10515,Animation
10515,Family
10515,Fantasy
10515,Romance
10516,Comedy
10516,Science Fiction
10518,Thriller
1051,Action
1051,Crime
1051,Thriller
105210,Comedy
105210,Science Fiction
10521,Comedy
10523,Drama
10523,History
10527,Adventure
10527,Animation
10527,Family
10528,Action
10528,Adventure
10528,Comedy
10528,Crime
10528,Drama
10528,Mystery
10528,Thriller
10529,Action
1052,Crime
1052,Drama
1052,Mystery
1052,Thriller
10530,Adventure
10530,Animation
10530,Drama
10530,Family
10533,Drama
10533,History
10533,Romance
10534,Action
10534,Drama
10535,Action
10535,Comedy
10536,Action
10536,Comedy
10536,Crime
10536,Thriller
10537,Drama
10537,Musical
10538,Action
10538,Adventure
10538,Thriller
10539,Adventure
10539,Animation
10539,Family
10540,Science Fiction
10543,Drama
10543,Romance
10543,Thriller
10544,Action
10544,Adventure
10544,Drama
10544,History
10545,Animation
10546,Action
10546,Fantasy
10546,Indie
10546,Thriller
10547,Action
10547,Mystery
10547,Science Fiction
10547,Thriller
10549,Drama
10555,Action
10555,Animation
10555,Comedy
10555,Family
10559,Crime
10559,Drama
10559,Science Fiction
10559,Thriller
10560,Drama
10560,Music
10562,Mystery
10562,Suspense
10562,Thriller
10564,Comedy
10564,Drama
10564,Romance
10567,Animation
10567,Family
10569,Action
10569,Comedy
10569,Crime
10569,Indie
10576,Horror
10576,Suspense
10576,Thriller
10577,Horror
10585,Horror
10585,Thriller
10586,Action
10586,Adventure
10586,Drama
10586,History
10586,Thriller
10587,Action
10587,Comedy
10587,Crime
10588,Comedy
10588,Family
10588,Fantasy
10589,Action
10589,Comedy
10589,Crime
10589,Drama
10590,Action
10590,History
10590,War
10591,Comedy
10591,Romance
10592,Drama
10592,War
10596,Action
10596,Adventure
10596,Science Fiction
10596,Thriller
105,Adventure
105,Comedy
105,Family
105,Science Fiction
10601,Adventure
10601,Family
10601,Fantasy
106021,Action
106021,Thriller
106035,Drama
106035,Horror
106035,Thriller
10603,Action
10603,Adventure
10603,Comedy
10603,Family
10603,Romance
10606,Adventure
10606,Drama
10606,Fantasy
10606,Romance
10606,Science Fiction
10606,Suspense
10607,Comedy
10610,Action
10610,Comedy
10610,Fantasy
10610,Thriller
10611,Comedy
10611,Drama
10617,Action
10617,Drama
10618,Action
10618,Comedy
10622,Action
10622,Comedy
10622,Crime
10623,Action
10623,Crime
10623,Drama
10625,Comedy
10628,Adventure
10628,Comedy
10628,Crime
10632,Action
10632,Crime
10632,Drama
10632,Thriller
10633,Crime
10633,Drama
10633,Mystery
10633,Thriller
10634,Comedy
10634,Drama
10637,Drama
10637,Sport
10641,Drama
10641,Romance
10642,Comedy
10642,Drama
10642,Family
10642,Romance
10647,Drama
10647,Romance
10648,Action
10648,Crime
10648,Thriller
10649,Action
10649,Crime
10649,Thriller
10650,Action
10650,Crime
10650,Thriller
10651,Action
10651,Crime
10651,Thriller
10652,Action
10652,Drama
10652,War
10653,Comedy
10653,Drama
10653,Romance
10654,Comedy
10654,Drama
10654,History
10654,Music
10655,Drama
10655,History
10655,War
10656,Action
10656,Thriller
10657,Action
10657,Drama
10657,Horror
10657,Thriller
10658,Comedy
10658,Fantasy
10658,Science Fiction
10660,Comedy
10660,Drama
10660,Romance
10661,Action
10661,Comedy
10663,Comedy
10663,Sports Film
106646,Comedy
106646,Crime
106646,Drama
10664,Horror
10664,Thriller
10665,Horror
10665,Mystery
10665,Thriller
10669,Adventure
10669,Drama
10669,Thriller
10671,Action
10671,Drama
10671,Thriller
10673,Crime
10673,Drama
106747,Action
106747,Crime
106747,Thriller
10674,Adventure
10674,Animation
10674,Family
10674,Musical
10675,Action
10675,Crime
10675,Drama
10675,Mystery
10675,Thriller
10676,Horror
10676,Mystery
10676,Science Fiction
10677,Musical
10678,Comedy
10679,Action
10679,Comedy
10679,Science Fiction
10680,Action
10680,Comedy
10680,Drama
10680,Family
10680,Sports Film
10681,Animation
10681,Family
10683,Comedy
10683,Drama
10683,Indie
10684,Drama
10684,Mystery
10684,Thriller
10684,War
10685,Mystery
10685,Suspense
10685,Thriller
10687,Drama
10687,Indie
10687,War
10691,Drama
10691,Romance
106938,Adventure
