id,title,avgvote,releaseyear,tagline
10228,Pokémon: The First Movie - Mewtwo Strikes Back,7.000000,1998,The Pokémon Match of All Time is here.
10229,A Walk to Remember,7.000000,2002,She didn't belong. She was misunderstood. And she would change him forever.
10234,Funny Games,7.500000,1997,
102362,Dead Man Down,5.600000,2013,Blood demands blood
10236,The Way We Were,7.600000,1973,Everything seemed so important then .. even love!
102382,The Amazing Spider-Man 2,7.000000,2014,No more secrets.
1023,Adam's Apples,8.000000,2005,
10242,What Ever Happened to Baby Jane?,7.900000,1962,"Sister Sister, Oh So Fair! Why Is There Blood All Over Your Hair?"
10246,Porky's,6.700000,1982,Keep an eye out for the funniest movie about growing up ever made!
10249,The Rocketeer,6.600000,1991,"Three years before the United States declares war, Cliff Secord leads America's first battle against the Nazis."
1024,Heavenly Creatures,6.900000,1994,From a secret world no one could see...came a crime no one could believe.
10253,D-War,5.000000,2007,They've made our world their battleground
102629,El Gringo,5.400000,2012,He's not in Acapulco any more.
10263,Tamara,5.000000,2005,Revenge has a killer body.
10264,Hamlet,5.800000,1990,The extraordinary adaptation of Shakespeare's classic tale of vengeance and tragedy.
102651,Maleficent,7.200000,2014,Don't believe the fairy tale.
10269,Yentl,5.300000,1983,
10276,What About Bob?,6.900000,1991,Bob's a special kind of friend. The kind that drives you crazy!
102780,Byzantium,5.600000,2013,Irresistible. Immoral. Immortal.
102784,Two Rabbits,7.300000,2012,
10280,Thinner,5.000000,1996,Let the curse fit the crime.
10281,Friday the 13th Part VII: The New Blood,5.700000,1988,"Jason is back, but this time someone's waiting!"
10283,Friday the 13th Part VIII: Jason Takes Manhattan,5.000000,1989,The Big Apple's in BIG trouble!
10285,Jason Goes to Hell: The Final Friday,4.200000,1993,Evil has finally found a home.
10288,Fido,7.200000,2006,Good dead are hard to find
10294,Vacancy,5.700000,2007,Once you've checked in... The terror begins.
10295,Miami Supercops,6.500000,1985,
10297,How to Marry a Millionaire,7.300000,1953,The Most Glamorous Entertainment Of Your Lifetime in CinemaScope. You See It Without Glasses!
10303,The Jewel of the Nile,6.400000,1985,"When the going gets tough, the tough get going."
10304,Starship Troopers 2: Hero of the Federation,4.200000,2004,They're Coming Back to Wipe Us Out!
10306,Poltergeist III,5.100000,1988,He's found her.
10307,Stigmata,5.800000,1999,The messenger must be silenced.
10312,Patch Adams,6.900000,1998,Laughter is contagious.
10313,The Men Who Stare at Goats,5.800000,2009,No goats. No glory.
10314,She's All That,5.000000,1999,These two opposites attract... but EVERYONE'S trying to keep them apart!
10315,Fantastic Mr. Fox,7.200000,2009,Dig the life fantastic!
10316,The Ides of March,6.200000,2011,Ambition seduces. Power corrupts.
10320,The Ring Two,5.500000,2005,The dead don't sleep.
10322,Being There,7.800000,1979,Getting there is half the fun; being there is all of it!
10323,Clash of the Titans,7.200000,1981,You will feel the power. Live the adventure. Experience the fantastic.
103269,Superman vs. The Elite,6.300000,2012,World saved. Humanity lost.
10326,Forever Young,5.600000,1992,
10327,"Legally Blonde 2: Red, White & Blonde",4.800000,2003,Bigger. Bolder. Blonder.
10328,Cocoon,6.600000,1985,"Beyond the innocence of youth, and the wisdom of age, lies the wonder of... Cocoon"
10329,Congo,4.600000,1995,Where you are the endangered species.
